ticker,previousClose,regularMarketOpen,bid,ask,dayLow,dayHigh,52WeekLow,52WeekHigh,volume,averageVolume,marketCap,beta,trailingPE,forwardPE,dividendYield,exDividendDate,payoutRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,fiveYearAvgDividendYield,dividendRate,annualDividendRate,dividendYield,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,averageDailyVolume10Day,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualEps,epsTrailingTwelveMonths,epsForward,sharesOutstanding,floatShares,sharesShort,sharesShortPriorMonth,shortRatio,shortPercentOutstanding,shortPercentFloat,percentInsiders,percentInstitutions,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastCapGain,annualHoldingsTurnover,enterpriseValue,priceToSalesTrailing12Months,priceToBook,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,beta,enterpriseValue,priceHint,trailingAnnualDividendRate,trailingAnnualDividendYield,fiveYearAvgDividendYield,dividendRate,annualDividendRate,dividendYield,financialCurrency
CARZ,58.91,58.67,42.16,74.88,57.98,58.67,,,1658.0,2171.0,,,18.022942,,,,,,,,,,,57.6626,54.6701,,,1560.0,,,,,,,46.26,60.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
CASH,53.16,53.53,53.02,53.4,52.895,53.53,,,187316.0,166474.0,1347175680.0,0.663,8.0165415,7.851252,0.0038,1718064000.0,0.0301,0.2,0.0037622273,0.54,0.2,,0.0038,51.6138,50.0447,0.2,0.0037622273,148210.0,,,,,,,41.79,60.49,,,,,,,25270600.0,24866255.0,1418532.0,1548977.0,9.6,,,,,6.79,,3:1,1538697600.0,1.589,,,,,,,1091057792.0,1.9618996,1.8285656,1711843200.0,171960992.0,6.65,6.79,0.663,1091057792.0,2.0,0.2,0.0037622273,0.54,0.2,,0.0038,USD
CASI,3.51,3.56,,,3.33,3.87,,,29718.0,199766.0,51783012.0,0.43,,-1.8140844,,,,,,,,,,2.926,4.15395,,,19610.0,,,,,,,1.85,8.48,,,,,,,13401400.0,5439451.0,46325.0,82179.0,1.25,,,,,-2.13,,1:11,1277942400.0,0.934,-1.469,,,,,,31646470.0,1.5284693,2.139535,1703980800.0,-26960000.0,-2.28,-2.13,0.43,31646470.0,4.0,,,,,,,USD
CASS,42.1,42.38,42.12,42.69,42.055,42.72,,,70292.0,37341.0,577674240.0,0.764,19.333332,13.927631,0.028299998,1717459200.0,0.5388,1.18,0.028028503,2.61,1.2,,0.028299998,44.9292,42.46935,1.18,0.028028503,34140.0,,,,,,,35.5,50.25,,,,,,,13643700.0,12188425.0,204561.0,201851.0,5.86,,,,,3.04,,6:5,1543795200.0,1.82,6.47,,,,,,393086464.0,2.6752973,2.5142517,1711843200.0,30094000.0,2.19,3.04,0.764,393086464.0,2.0,1.18,0.028028503,2.61,1.2,,0.028299998,USD
CASY,327.65,328.87,331.11,332.39,326.83,332.36,,,214394.0,304542.0,12281566208.0,0.823,26.39459,23.597439,0.0052,1714435200.0,0.1328,1.67,0.005096902,0.68,1.72,,0.0052,322.2158,287.59155,1.67,0.005096902,212950.0,,,,,,,212.5,344.61,,,,,,,37017200.0,36786568.0,1064905.0,776918.0,3.52,,,,,14.06,2.47,2:1,887673600.0,0.942,13.638,,,,,,13740544000.0,0.8416875,4.1713395,1706659200.0,471044000.0,12.57,14.06,0.823,13740544000.0,2.0,1.67,0.005096902,0.68,1.72,,0.0052,USD
CATC,66.23,66.4801,66.67,67.47,66.4801,67.34,,,13481.0,23323.0,525322368.0,0.596,9.576539,10.710401,0.0398,1715126400.0,0.7383,2.59,0.03910614,3.33,2.68,,0.0398,65.132,62.5809,2.59,0.03910614,19550.0,,,,,,,48.37,73.68,,,,,,,7847660.0,7445071.0,69957.0,100749.0,3.58,,,,,6.25,,3:1,1025568000.0,6.89,,,,,,,1062672064.0,3.4058323,0.9970657,1711843200.0,28567000.0,6.99,6.25,0.596,1062672064.0,2.0,2.59,0.03910614,3.33,2.68,,0.0398,USD
CATH,63.08,63.28,63.47,63.89,62.603,63.7,,,11741.0,25874.0,,,26.674885,,,,,,,,,,,62.53186,57.91179,,,13330.0,,,,,,,49.89,64.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
CATY,36.4,36.59,36.78,36.88,36.59,37.22,,,334888.0,373790.0,2682445568.0,1.12,8.150442,8.877109,0.0369,1717027200.0,0.3009,1.02,0.028021976,3.64,1.36,,0.0369,36.4376,37.8043,1.02,0.028021976,290160.0,,,,,,,30.83,45.72,,,,,,,72813400.0,69388270.0,1707965.0,2033935.0,5.11,,,,,4.15,1.19,2:1,1096416000.0,2.599,,,,,,,1971671168.0,3.535283,0.96391845,1711843200.0,329552000.0,4.52,4.15,1.12,1971671168.0,2.0,1.02,0.028021976,3.64,1.36,,0.0369,USD
CAUD,0.4586,0.45,,,0.41,0.4598,,,89489.0,2967061.0,5765256.0,-1.503,,,,,,,,,,,,0.5391,4.417825,,,220750.0,,,,,,,0.37,38.4,,,,,,,13726800.0,9593393.0,6001.0,270022.0,0.02,,,,,,,,,0.98,-4.056,,,,,,19714784.0,0.28647867,,1696032000.0,-6628863.0,,,-1.503,19714784.0,4.0,,,,,,,USD
CBAN,11.98,12.17,12.02,12.15,12.02,12.17,,,13340.0,30079.0,212107888.0,0.538,9.664,8.053333,0.0372,1715040000.0,0.354,0.443,0.036978297,2.95,0.45,,0.0372,11.2062,11.103,0.443,0.036978297,30230.0,,,,,,,9.03,13.58,,,,,,,17558600.0,13745583.0,58838.0,58584.0,2.11,,,,,1.5,1.37,5:4,1116288000.0,3.043,,,,,,,335047008.0,1.9266422,0.81605077,1711843200.0,22037000.0,1.25,1.5,0.538,335047008.0,2.0,0.443,0.036978297,2.95,0.45,,0.0372,USD
CBAT,1.55,1.53,1.59,7.0,1.51,1.65,,,411597.0,184519.0,147500288.0,1.816,16.4,4.432432,,,,,,,,,,1.112,0.98075,,,405170.0,,,,,,,0.76,1.65,,,,,,,89939200.0,71701321.0,1065372.0,1037867.0,8.25,,,,,0.37,0.16,1:5,1351209600.0,0.751,7.6,,,,,,165923760.0,0.6678328,1.2202381,1711843200.0,8767748.0,0.1,0.37,1.816,165923760.0,4.0,,,,,,,USD
CBFV,22.37,22.63,,23.0,22.38,23.0,,,2785.0,3203.0,115083552.0,0.546,5.07483,10.409302,0.0435,1715644800.0,0.22680001,1.0,0.044702724,4.29,1.0,,0.0435,21.9946,22.24955,1.0,0.044702724,2350.0,,,,,,,18.68,27.02,,,,,,,5142250.0,4656280.0,4020.0,7329.0,0.95,,,,,2.15,1.02,3:1,926380800.0,1.12,,,,,,,76095128.0,1.6933764,0.8129018,1711843200.0,22590000.0,4.41,2.15,0.546,76095128.0,2.0,1.0,0.044702724,4.29,1.0,,0.0435,USD
CBNK,20.12,20.259,20.12,20.32,20.1,20.425,,,12812.0,22590.0,279929824.0,0.443,8.611112,6.584967,0.015800001,1714694400.0,0.1282,0.32,0.015904572,,0.32,,0.015800001,20.1312,20.6891,0.32,0.015904572,27060.0,,,,,,,15.0,25.0,,,,,,,13892300.0,8719055.0,187486.0,145742.0,9.78,,,,,3.06,,,,1.487,,,,,,,232280864.0,1.7917687,1.078636,1711843200.0,32698000.0,2.34,3.06,0.443,232280864.0,2.0,0.32,0.015904572,,0.32,,0.015800001,USD
CBRG,10.99,11.267,,,11.267,11.267,,,62.0,934.0,75703088.0,-0.031,56.335,,,,,,,,,,,11.21934,10.94226,,,1500.0,,,,,,,10.4,12.49,,,,,,,3528010.0,114022.0,552.0,517.0,2.03,,,,,,,,,,,,,,,,74442776.0,,,1703980800.0,7623957.0,0.2,,-0.031,74442776.0,2.0,,,,,,,USD
CBRGU,10.84,,,,10.8495,10.8495,,,,444.0,,-0.031,,,,,,,,,,,,10.7724,10.88085,,,,,,,,,,10.392,14.0,,,,,,,,114022.0,,,,,,,,,,,,,,,,,,,72225504.0,,,1703980800.0,7623957.0,,,-0.031,72225504.0,2.0,,,,,,,USD
CBRL,48.12,47.59,48.67,48.78,46.41,49.2,,,1134909.0,883884.0,1083028224.0,1.475,18.066666,12.475702,0.020499999,1721347200.0,1.9259,5.2,0.108063176,4.19,1.0,,0.020499999,58.3976,69.2921,5.2,0.108063176,1635690.0,,,,,,,43.38,101.58,,,,,,,22202300.0,19824682.0,3777101.0,3138554.0,5.19,,,,,3.91,1.11,3:2,732758400.0,0.661,10.176,,,,,,2266628864.0,0.315875,2.3442905,1706227200.0,83420000.0,2.7,3.91,1.475,2266628864.0,2.0,5.2,0.108063176,4.19,1.0,,0.020499999,USD
CBSH,55.45,55.72,55.51,55.68,55.54,56.36,,,856910.0,479452.0,7207383040.0,0.771,15.498608,15.455556,0.0194,1717545600.0,0.2937,1.041,0.01877367,1.68,1.08,,0.0194,54.4108,51.22075,1.041,0.01877367,541370.0,,,,,,,42.96,57.48,,,,,,,129536000.0,117995683.0,2132236.0,2354118.0,4.62,,,,,3.6,-1.8,105:100,1606780800.0,4.787,,,,,,,7496651776.0,4.60231,2.4564037,1711843200.0,466041984.0,3.59,3.6,0.771,7496651776.0,2.0,1.041,0.01877367,1.68,1.08,,0.0194,USD
CBUS,14.82,14.99,14.3,14.59,14.38,14.99,,,74512.0,73555.0,402427584.0,1.997,,-6.1531916,,,,,,,,,,17.7398,16.7831,,,73620.0,,,,,,,8.9,26.625,,,,,,,24687800.0,15438379.0,610408.0,378142.0,9.53,,,,,-2.35,,,,151.516,-6.045,,,,,,351517600.0,173.46016,1.0922275,1711843200.0,-285668000.0,-21.61,-2.35,1.997,351517600.0,2.0,,,,,,,USD
CCAP,18.05,18.06,18.13,18.17,18.03,18.17,,,90514.0,144601.0,672295616.0,0.871,6.3649125,8.476635,0.093,1711497600.0,0.7039,,,,1.64,,0.093,17.4928,16.876675,,,181430.0,,,,,,,13.61,18.2,,,,,,,37061500.0,,94111.0,99135.0,0.91,,,,,2.14,,,,8.094,,,,,,,1490398080.0,3.6511216,0.9053251,1703980800.0,83837000.0,2.85,2.14,0.871,1490398080.0,2.0,,,,1.64,,0.093,USD
CCB,43.66,44.175,44.17,44.59,43.95,44.62,,,40983.0,53384.0,595020608.0,1.159,15.503497,7.711304,,,,,,,,,,40.7642,41.11805,,,43770.0,,,,,,,35.67,48.5,,,,,,,13419500.0,10917829.0,474626.0,438934.0,9.05,,,,,5.75,,,,0.501,,,,,,,133609232.0,2.2323709,1.957443,1711843200.0,38988000.0,2.86,5.75,1.159,133609232.0,2.0,,,,,,,USD
CCBG,26.93,27.64,27.11,27.38,27.075,27.64,,,52919.0,27447.0,460177312.0,0.537,9.023255,9.734767,0.0309,1717977600.0,0.2625,0.79,0.029335314,2.27,0.84,,0.0309,27.2036,28.49495,0.79,0.029335314,27110.0,,,,,,,25.57,34.16,,,,,,,16943200.0,13617010.0,41278.0,41665.0,1.58,,,,,2.79,1.56,5:4,1120521600.0,1.085,,,,,,,240140640.0,2.0788922,1.0256022,1711843200.0,51106000.0,3.01,2.79,0.537,240140640.0,2.0,0.79,0.029335314,2.27,0.84,,0.0309,USD
CCCC,4.98,5.03,4.97,5.0,4.945,5.085,,,1123765.0,1709403.0,344028992.0,3.232,,-2.7472527,,,,,,,,,,6.7466,4.9327,,,1107830.0,,,,,,,1.06,11.88,,,,,,,68805800.0,52466476.0,11343946.0,9562882.0,8.63,,,,,-1.82,-0.14,,,7.764,-1.189,,,,,,155556928.0,17.170542,1.3315579,1711843200.0,-126074000.0,-2.37,-1.82,3.232,155556928.0,4.0,,,,,,,USD
CCCS,11.28,11.28,11.16,11.2,11.05,11.43,,,14280893.0,4222795.0,6948705280.0,0.632,,27.268293,,,,,,,,,,11.4242,11.4418,,,7482700.0,,,,,,,10.32,13.41,,,,,,,621529984.0,348008325.0,5213574.0,3488306.0,1.92,,,,,0.41,-1.08,,,8.505,46.581,,,,,,7558670848.0,7.81899,3.8498623,1711843200.0,-96399000.0,-0.16,0.41,0.632,7558670848.0,2.0,,,,,,,USD
CCD,22.16,22.11,22.22,22.31,21.97,22.28,,,46021.0,98390.0,595690368.0,,,,0.1329,1697068800.0,,,,9.46,2.34,,0.1329,22.0658,20.279755,,,58440.0,,,,,,,16.93,24.683,,,,,,,26772600.0,,12795.0,17763.0,0.22,,,,,,,,,,,,,,,,,,,,,-0.62,,,,2.0,,,9.46,2.34,,0.1329,
CCEP,72.15,72.15,73.67,73.75,71.94,73.91,,,2027396.0,1294571.0,33927532544.0,0.701,18.803572,15.851612,0.028099999,1715212800.0,0.5069,1.84,0.025502425,2.87,2.07,,0.028099999,71.049,65.88045,1.84,0.025502425,1182790.0,,,,,,,56.28,75.44,,,,,,,460284000.0,204798713.0,3334044.0,4414690.0,2.58,,,,,4.65,2.06,3:1,863481600.0,2.369,15.051,,,,,,43362594816.0,1.8537611,4.2437677,1703980800.0,1668999936.0,3.92,4.65,0.701,43362594816.0,2.0,1.84,0.025502425,2.87,2.07,,0.028099999,EUR
CCG,1.24,1.16,1.17,1.22,1.11,1.32,,,1629502.0,783734.0,90890640.0,0.485,,,,,,,,,,,,2.3665,5.4425707,,,4512970.0,,,,,,,1.11,84.7,,,,,,,57145700.0,11548415.0,272851.0,89103.0,1.94,,,,,,,,,-0.027,0.543,,,,,,-89375352.0,0.027530788,0.23937763,1703980800.0,-921758976.0,-1.65,,0.485,-89375352.0,4.0,,,,,,,CNY
CCGWW,0.0251,0.0289,,,0.0251,0.0289,,,24.0,7207.0,,0.485,,,,,,,,,,,,0.04998,0.08698285,,,5290.0,,,,,,,0.025,0.34,,,,,,,,11548415.0,,,,,,,,,,,,,,,,,,,,,0.005006982,,-921758976.0,,,0.485,,4.0,,,,,,,CNY
CCIXU,10.1,10.1135,10.1,10.13,10.1135,10.12,,,50.0,1023928.0,,,,,,,,,,,,,,10.121904,10.121904,,,8430.0,,,,,,,10.06,10.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
CCLD,2.77,2.79,2.51,2.7,2.55,2.95,,,148354.0,1739671.0,41591664.0,1.067,,-51.6,,,,,,,,,,1.5544,1.33281,,,402850.0,,,,,,,0.68,3.579,,,,,,,16120800.0,8464692.0,906471.0,95364.0,0.21,,,,,-0.05,,,,0.449,10.899,,,,,,50756580.0,0.36800268,1.0042818,1711843200.0,-60262000.0,-3.85,-0.05,1.067,50756580.0,4.0,,,,,,,USD
CCLDO,11.54,11.9,,,11.06,12.18,,,7304.0,8234.0,,1.067,,,0.3676,1709078400.0,,,,,2.19,,0.3676,7.88914,10.90418,,,3920.0,,,,,,,3.3,22.933,,,,,,,,8464692.0,7880.0,18008.0,0.67,,,,,,,,,1.818,44.131,,,,,,205515936.0,,4.7411447,1711843200.0,-60262000.0,,,1.067,205515936.0,2.0,,,,2.19,,0.3676,USD
CCLDP,7.94,8.0,8.61,,8.0,11.51,,,179047.0,19838.0,,1.067,,,0.4591,1709078400.0,,,,12.74,2.75,,0.4591,6.58428,12.20185,,,27770.0,,,,,,,4.01,28.0,,,,,,,,8464692.0,198.0,1648.0,0.21,,,,,,,,,1.7,41.257,,,,,,192135712.0,,4.4180617,1711843200.0,-60262000.0,,,1.067,192135712.0,2.0,,,12.74,2.75,,0.4591,USD
CCNE,19.205,19.28,19.27,19.43,19.24,19.49,,,53929.0,41404.0,407469824.0,0.763,8.185655,8.185655,0.0361,1717113600.0,0.29540002,0.7,0.03644884,3.12,0.7,,0.0361,19.5774,19.83795,0.7,0.03644884,29880.0,,,,,,,17.18,23.4,,,,,,,21003600.0,20112401.0,63626.0,67295.0,1.41,,,,,2.37,,25:10,1085356800.0,1.408,,,,,,,303602400.0,1.88961,0.77590686,1711843200.0,49532000.0,2.37,2.37,0.763,303602400.0,2.0,0.7,0.03644884,3.12,0.7,,0.0361,USD
CCNEP,23.4,23.209,,,23.209,23.209,,,407.0,1834.0,,0.763,7.2077637,,0.0767,1715817600.0,,0.7,0.02991453,,1.78,,0.0767,22.99074,22.40123,0.7,0.02991453,1850.0,,,,,,,18.42,24.455,,,,,,,,20112401.0,283.0,326.0,0.24,,,,,,,,,1.776,,,,,,,382869120.0,,0.9282486,1711843200.0,49532000.0,3.22,,0.763,382869120.0,2.0,0.7,0.02991453,,1.78,,0.0767,USD
CCOI,59.77,60.0,59.13,59.33,58.9,60.074,,,371823.0,500125.0,2903225088.0,0.379,2.358423,-15.792001,0.0659,1716336000.0,0.1513,3.8,0.06357704,4.77,3.9,,0.0659,62.397,67.80365,3.8,0.06357704,382460.0,,,,,,,57.11,86.0,,,,,,,49024400.0,42292482.0,3749213.0,2884604.0,8.25,,,,,-3.75,25.67,1:20,1111622400.0,4.646,49.822,,,,,,4585570304.0,2.9414582,5.6079545,1711843200.0,1201986048.0,25.11,-3.75,0.379,4585570304.0,2.0,3.8,0.06357704,4.77,3.9,,0.0659,USD
CCRN,14.75,14.79,15.09,15.14,14.79,15.13,,,374115.0,363893.0,525784384.0,0.767,11.454545,15.587628,,,,,,,,,,16.716,20.48455,,,339560.0,,,,,,,14.06,28.75,,,,,,,34774100.0,32693874.0,4154546.0,5107553.0,10.73,,,,,0.97,2.08,,,0.296,5.387,,,,,,525033760.0,0.29601726,1.1085044,1711843200.0,45887000.0,1.32,0.97,0.767,525033760.0,2.0,,,,,,,USD
CCSB,20.185,20.25,20.19,20.27,20.215,20.25,,,907.0,14036.0,,,,,,,,,,,,,,20.131666,20.131666,,,1550.0,,,,,,,19.991,20.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
CCSI,18.87,18.95,18.78,18.95,18.35,19.17,,,488375.0,405663.0,362685184.0,1.618,4.165563,3.375671,,,,,,,,,,15.3318,20.7481,,,243860.0,,,,,,,11.62,36.8,,,,,,,19220200.0,13372240.0,660249.0,612705.0,2.29,,,,,5.59,,,,2.749,5.853,,,,,,987610560.0,1.0095508,,1711843200.0,88159000.0,4.53,5.59,1.618,987610560.0,2.0,,,,,,,USD
CCSO,19.46,19.4784,13.89,24.66,19.21,19.55,,,8402.0,4376.0,,,17.632301,,,,,,,,,,,19.01974,18.518696,,,2050.0,,,,,,,16.268,21.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
CCTG,2.22,2.32,1.65,2.84,2.2189,2.3599,,,21592.0,383322.0,25941888.0,,,,,,,,,,,,,2.59118,4.0944576,,,69580.0,,,,,,,2.11,30.0,,,,,,,11581200.0,2268175.0,24003.0,76014.0,0.37,,,,,,,,,1.248,-38.026,,,,,,19888024.0,1.6272514,,1696032000.0,-218584.0,,,,19888024.0,4.0,,,,,,,USD
CCTS,11.4,11.45,11.2,,11.45,11.45,,,1500.0,1665.0,58107260.0,,6.325967,,,,,,,,,,,11.3922,11.093605,,,480.0,,,,,,,10.58,12.9,,,,,,,5074870.0,1461918.0,2875.0,4868.0,1.14,,,,,,,,,,,,,,,,58442272.0,,,1711843200.0,534000.0,1.81,,,58442272.0,2.0,,,,,,,USD
CCTSU,11.25,11.25,,,11.25,11.25,,,103.0,516.0,,,,,,,,,,,,,,11.3336,11.0624,,,1445.0,,,,,,,10.5,13.84,,,,,,,,1461918.0,1051.0,2894.0,5.13,,,,,,,,,,,,,,,,57427300.0,,,1711843200.0,534000.0,,,,57427300.0,2.0,,,,,,,USD
CCTSW,0.065,,,,0.07,0.07,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,,,,,,,,1461918.0,,,,,,,,,,,,,,,,,,,,,,,534000.0,,,,,4.0,,,,,,,USD
CDAQ,10.84,10.82,,,10.82,10.82,,,422.0,13506.0,113661936.0,0.009,83.23077,,,,,,,,,,,10.766,10.61745,,,6140.0,,,,,,,10.31,12.0,,,,,,,5794630.0,5194599.0,1439.0,467.0,0.06,,,,,,,,,,,,,,,,113756416.0,,,1711843200.0,2883158.0,0.13,,0.009,113756416.0,2.0,,,,,,,USD
CDAQU,10.79,10.79,,,10.79,10.79,,,99.0,14.0,,0.009,,,,,,,,,,,,10.7066,10.592665,,,20.0,,,,,,,9.61,11.5,,,,,,,,5194599.0,117.0,304.0,4.5,,,,,,,,,,,,,,,,113441272.0,,,1711843200.0,2883158.0,-0.589,,0.009,113441272.0,2.0,,,,,,,USD
CDAQW,0.05,0.05,,,0.05,0.05,,,10000.0,,,0.009,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,5194599.0,,,,,,,,,,,,,,,,,,,,,16.666666,,2883158.0,,,0.009,,4.0,,,,,,,USD
CDC,58.57,58.65,59.63,59.82,58.5601,59.79,,,27458.0,52692.0,,,13.707138,,,,,,,,,,,58.7064,56.745026,,,29720.0,,,,,,,54.5,60.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
CDIO,0.687,0.7013,0.6584,0.7241,0.685,0.7013,,,100180.0,567652.0,15714316.0,5.247,,-2.037353,,,,,,,,,,0.92544,1.2144,,,213770.0,,,,,,,0.171,3.56,,,,,,,22685600.0,17669524.0,336482.0,444634.0,0.94,,,,,-0.34,,,,1070.077,-2.561,,,,,,18260864.0,920.85065,4.810417,1703980800.0,-8376834.0,-0.75,-0.34,5.247,18260864.0,4.0,,,,,,,USD
CDIOW,0.05,0.0462,,,0.0425,0.05,,,6405.0,,,5.247,,,,,,,,,,,,,,,,,,,,,,,0.0425,0.05,,,,,,,,17669524.0,,,,,,,,,,,,,,,,,,,,,0.008836207,,-8376834.0,,,5.247,,4.0,,,,,,,USD
CDL,61.0752,61.38,62.24,62.39,61.2374,62.225,,,6729.0,13852.0,,,15.070621,,,,,,,,,,,61.22418,57.781876,,,12320.0,,,,,,,51.66,63.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
CDLX,9.06,9.15,8.72,8.8,8.68,9.26,,,1000908.0,1904426.0,427339104.0,1.504,,62.57143,,,,,,,,,,12.2491,10.869,,,782930.0,,,,,,,4.96,20.52,,,,,,,48783000.0,41298747.0,6548410.0,5780006.0,4.73,,,,,0.14,-0.98,,,1.911,-17.612,,,,,,597207424.0,1.3675684,2.1190133,1711843200.0,-172584992.0,-4.66,0.14,1.504,597207424.0,2.0,,,,,,,USD
CDMO,7.95,8.01,8.04,8.1,7.88,8.13,,,663723.0,1382168.0,513551584.0,1.557,,-42.57895,,,,,,,,,,7.6102,7.59615,,,817720.0,,,,,,,4.07,17.39,,,,,,,63479800.0,55205203.0,11862647.0,10322378.0,10.32,,,,,-0.19,-1.66,1:7,1499644800.0,4.967,-107.498,,,,,,679169536.0,3.7558165,2.849595,1706659200.0,-17683000.0,-0.28,-0.19,1.557,679169536.0,2.0,,,,,,,USD
CDNA,13.52,13.64,12.96,13.02,12.9,13.9766,,,579358.0,823784.0,679007552.0,1.506,,-65.05,,,,,,,,,,10.9319,9.398175,,,781670.0,,,,,,,4.8,17.03,,,,,,,52191200.0,50777530.0,5307543.0,4692487.0,5.37,,,,,-0.2,-1.73,,,1.798,-5.869,,,,,,494636128.0,2.468122,2.6293452,1711843200.0,-183194000.0,-3.42,-0.2,1.506,494636128.0,2.0,,,,,,,USD
CDNS,288.25,287.672,267.42,286.52,279.02,289.57,,,3474284.0,1527525.0,77914685440.0,1.06,74.5599,41.434155,,,,,,,,,,294.6786,273.0438,,,1602700.0,,,,,,,217.77,327.36,,,,,,,272134016.0,269532399.0,3169907.0,2460351.0,1.8,,,,,6.91,2.84,2:1,879724800.0,18.984,56.973,,,,,,77406978048.0,19.10892,21.839054,1711843200.0,1046982976.0,3.84,6.91,1.06,77406978048.0,2.0,,,,,,,USD
CDRO,7.45,7.38,7.31,7.57,7.24,7.5,,,21742.0,40125.0,339734240.0,0.375,,20.27027,,,,,,,,,,7.1431,4.643695,,,47170.0,,,,,,,2.679,8.5,,,,,,,45297900.0,15103679.0,243880.0,208827.0,9.04,,,,,0.37,,,,2.134,-7.191,,,,,,296870240.0,2.442023,15.789474,1688083200.0,-29926000.0,-0.72,0.37,0.375,296870240.0,2.0,,,,,,,EUR
CDROW,0.93,0.9555,,,0.94,0.98,,,30997.0,,,0.375,,,,,,,,,,,,,,,,,,,,,,,0.94,0.98,,,,,,,,15103679.0,,,,,,,,,,,,,,,,,,,,,,,-29926000.0,-428.545,,0.375,,4.0,,,,,,,EUR
CDT,3.0,3.04,2.84,3.1,2.95,3.05,,,26107.0,33284.0,224441696.0,2.5,,,,,,,,,,,,3.1302,4.33881,,,57380.0,,,,,,,0.95,25.0,,,,,,,73829504.0,18904791.0,42492.0,55109.0,1.4,,,,,,,,,,,,,,,,206432880.0,,,1703980800.0,-535000.0,-0.03,,2.5,206432880.0,4.0,,,,,,,USD
CDTG,3.99,3.8607,3.31,4.04,3.8607,3.99,,,6344.0,30386.0,42479000.0,,,,,,,,,,,,,3.6781666,3.6781666,,,21820.0,,,,,,,2.8,4.6,,,,,,,10700000.0,2831576.0,1104.0,,0.01,,,,,,,,,1.32,5.045,,,,,,45170340.0,1.2417159,,1703980800.0,7417706.0,,,,45170340.0,4.0,,,,,,,USD
CDTTW,0.0401,0.0495,,,0.0401,0.05,,,44462.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,,0.0401,0.05,,,,,,,,18904791.0,,,,,,,,,,,,,,,,,,,,,,,-535000.0,,,2.5,,4.0,,,,,,,USD
CDTX,12.42,12.71,12.46,13.13,12.3767,13.4,,,35264.0,69558.0,57888096.0,,,-1.4636678,,,,,,,,,,14.4139,15.526475,,,60180.0,,,,,,,10.0,27.6,,,,,,,4561710.0,3879175.0,70100.0,8168.0,0.67,,,,,-8.67,-0.01,,,0.725,-0.886,,,,,,33516922.0,1.2513369,,1711843200.0,-35634000.0,-8.08,-8.67,,33516922.0,2.0,,,,,,,USD
CDW,222.84,222.48,223.54,223.78,220.165,224.65,,,1426050.0,743574.0,30054080512.0,1.089,27.917603,20.055605,0.0111,1716422400.0,0.3021,2.42,0.01085981,1.08,2.48,,0.0111,237.0896,223.8379,2.42,0.01085981,1019540.0,,,,,,,167.73,263.37,,,,,,,134398000.0,133955512.0,2066789.0,3082627.0,2.76,,,,,11.15,2.79,,,1.676,17.673,,,,,,35434807296.0,1.4212924,14.052661,1711843200.0,1090300032.0,8.01,11.15,1.089,35434807296.0,2.0,2.42,0.01085981,1.08,2.48,,0.0111,USD
CDXC,2.83,2.82,2.75,2.79,2.76,2.8845,,,147577.0,373003.0,208487088.0,1.961,,46.0,,,,,,,,,,3.5628,2.0235,,,233160.0,,,,,,,1.25,4.65,,,,,,,75538800.0,51629833.0,1696905.0,1481594.0,6.98,,,,,0.06,,1:3,1460505600.0,2.222,-54.55,,,,,,184760976.0,2.5068488,7.1875,1711843200.0,-3528000.0,-0.05,0.06,1.961,184760976.0,4.0,,,,,,,USD
CDXS,3.4,3.44,3.34,3.44,3.3,3.44,,,509636.0,479882.0,238484704.0,2.046,,-4.5066667,,,,,,,,,,3.2566,2.62505,,,386920.0,,,,,,,1.45,4.91,,,,,,,70557600.0,63820034.0,2297114.0,2374592.0,4.51,,,,,-0.75,-0.34,,,2.643,-5.191,,,,,,196182608.0,3.2126074,3.0097952,1711843200.0,-65128000.0,-0.94,-0.75,2.046,196182608.0,4.0,,,,,,,USD
